horizon,epoch,train_loss,val_loss,lr
1d,1,0.9848682116055855,0.5116109900262497,0.0001
1d,2,0.8871616162503824,0.5512265209077504,0.0001
1d,3,0.7873142241884791,0.624479596640076,5e-05
1d,4,0.6911369831432023,0.5948368795964315,5e-05
